# version = csv_v1.0.0
# bname = aaaaaguk_s002_t001
# duration = 1191.0000 secs
# montage_file = $TUAR/v3.0.0/DOCS/01_tcp_ar_montage.txt
# annotation_label_file = $TUAR/v3.0.0/DOCS/nedc_ann_eeg_tools_map_v01.txt
#
channel,start_time,stop_time,label,confidence
F7-T3,447.0769,448.0891,musc,1.0000
F7-T3,464.0810,474.0000,eyem,1.0000
F7-T3,506.0405,506.5466,eyem_musc,1.0000
F7-T3,506.5749,523.0931,eyem,1.0000
F7-T3,525.0142,527.2004,musc,1.0000
F7-T3,529.0526,530.8745,musc,1.0000
F7-T3,548.0364,569.1093,eyem,1.0000
F7-T3,601.2392,601.4785,musc,1.0000
F7-T3,626.3636,643.9713,eyem,1.0000
F7-T3,648.0191,660.8421,eyem,1.0000
F7-T3,665.6316,667.8804,eyem,1.0000
F7-T3,671.2775,672.6172,eyem,1.0000
F7-T3,676.3014,707.0670,eyem,1.0000
F7-T3,727.9856,810.0909,eyem,1.0000
F7-T3,825.6710,826.0622,elec,1.0000
F7-T3,828.0000,868.0478,eyem,1.0000
F7-T3,873.0335,886.0478,eyem,1.0000
F7-T3,908.1579,920.2356,eyem,1.0000
F7-T3,922.7961,924.6929,eyem,1.0000
F7-T3,964.6794,1034.0096,eyem,1.0000
F7-T3,1034.0526,1035.3684,eyem_musc,1.0000
F7-T3,1035.4163,1089.0526,eyem,1.0000
F7-T3,1102.4880,1142.7273,eyem,1.0000
F7-T3,1142.7416,1143.7225,eyem_musc,1.0000
F7-T3,1143.7464,1154.5837,eyem,1.0000
F7-T3,1154.6316,1155.2057,eyem_musc,1.0000
F7-T3,1155.2536,1168.0048,eyem,1.0000
F7-T3,1172.6172,1180.8230,eyem,1.0000
F7-T3,1187.0000,1190.8038,eyem,1.0000
T3-T5,214.0000,223.0081,elec,1.0000
T3-T5,257.5061,259.1255,elec,1.0000
T3-T5,415.2794,415.9879,eyem_elec,1.0000
T3-T5,447.0769,448.0891,musc,1.0000
T3-T5,472.2199,472.5934,elec,1.0000
T3-T5,506.0405,506.5466,eyem_musc,1.0000
T3-T5,525.0142,527.2004,musc,1.0000
T3-T5,529.0526,530.8745,musc,1.0000
T3-T5,601.2392,601.4785,musc,1.0000
T3-T5,665.6316,667.8804,eyem,1.0000
T3-T5,671.2775,672.6172,eyem,1.0000
T3-T5,825.6710,826.0622,elec,1.0000
T3-T5,1034.0526,1035.3684,eyem_musc,1.0000
T3-T5,1142.7416,1143.7225,eyem_musc,1.0000
T3-T5,1154.6316,1155.2057,eyem_musc,1.0000
T5-O1,214.0000,223.0081,elec,1.0000
T5-O1,257.5061,259.1255,elec,1.0000
T5-O1,415.2794,415.9879,eyem_elec,1.0000
T5-O1,447.0769,448.0891,musc,1.0000
T5-O1,472.2199,472.5934,elec,1.0000
T5-O1,489.0364,491.0607,eyem,1.0000
T5-O1,506.0405,506.5466,eyem_musc,1.0000
T5-O1,525.0142,527.2004,musc,1.0000
T5-O1,529.0526,530.8745,musc,1.0000
T5-O1,601.2392,601.4785,musc,1.0000
T5-O1,665.6316,667.8804,eyem,1.0000
T5-O1,671.2775,672.6172,eyem,1.0000
T5-O1,825.6710,826.0622,elec,1.0000
T5-O1,1034.0526,1035.3684,eyem_musc,1.0000
T5-O1,1142.7416,1143.7225,eyem_musc,1.0000
T5-O1,1154.6316,1155.2057,eyem_musc,1.0000
FP2-F8,0.0119,2.0925,eyem,1.0000
FP2-F8,23.0622,31.0526,eyem,1.0000
FP2-F8,36.4115,41.9617,eyem,1.0000
FP2-F8,97.0287,101.0000,eyem,1.0000
FP2-F8,104.5072,111.0144,eyem,1.0000
FP2-F8,120.4742,121.4997,eyem,1.0000
FP2-F8,127.0480,128.2276,eyem,1.0000
FP2-F8,135.0089,136.4849,eyem,1.0000
FP2-F8,141.2211,142.2288,eyem,1.0000
FP2-F8,143.9834,144.9437,elec,1.0000
FP2-F8,148.0144,150.0239,eyem,1.0000
FP2-F8,156.1962,166.0048,eyem,1.0000
FP2-F8,214.0000,223.0081,elec,1.0000
FP2-F8,235.1529,237.0676,eyem,1.0000
FP2-F8,246.0850,247.9069,eyem,1.0000
FP2-F8,252.9004,254.4298,eyem,1.0000
FP2-F8,257.5061,259.1255,elec,1.0000
FP2-F8,283.1700,286.0040,eyem,1.0000
FP2-F8,290.6360,293.9733,eyem,1.0000
FP2-F8,323.8548,325.3723,eyem,1.0000
FP2-F8,328.8947,334.1579,eyem,1.0000
FP2-F8,338.0162,340.8502,eyem,1.0000
FP2-F8,344.5951,356.1336,eyem,1.0000
FP2-F8,383.0688,397.1377,eyem,1.0000
FP2-F8,409.1053,411.0283,eyem,1.0000
FP2-F8,415.2794,415.9879,eyem_elec,1.0000
FP2-F8,417.7113,419.3889,eyem,1.0000
FP2-F8,422.1781,437.0567,eyem,1.0000
FP2-F8,447.0769,448.0891,musc,1.0000
FP2-F8,464.0810,474.0000,eyem,1.0000
FP2-F8,479.0607,483.0081,eyem,1.0000
FP2-F8,495.0081,496.9312,eyem,1.0000
FP2-F8,506.0405,506.5466,eyem_musc,1.0000
FP2-F8,506.5749,523.0931,eyem,1.0000
FP2-F8,525.0142,527.2004,musc,1.0000
FP2-F8,529.0526,530.8745,musc,1.0000
FP2-F8,533.0040,535.4939,eyem,1.0000
FP2-F8,548.0364,569.1093,eyem,1.0000
FP2-F8,601.2392,601.4785,musc,1.0000
FP2-F8,612.0526,614.4450,eyem,1.0000
FP2-F8,626.3636,643.9713,eyem,1.0000
FP2-F8,648.0191,660.8421,eyem,1.0000
FP2-F8,665.6316,667.8804,eyem,1.0000
FP2-F8,671.2775,672.6172,eyem,1.0000
FP2-F8,676.2839,707.0545,eyem,1.0000
FP2-F8,711.0478,714.0622,eyem,1.0000
FP2-F8,717.4493,719.1031,eyem,1.0000
FP2-F8,727.9856,810.0909,eyem,1.0000
FP2-F8,825.6710,826.0622,elec,1.0000
FP2-F8,828.0000,868.0478,eyem,1.0000
FP2-F8,873.0335,886.0478,eyem,1.0000
FP2-F8,908.1579,920.2356,eyem,1.0000
FP2-F8,922.7961,924.6929,eyem,1.0000
FP2-F8,945.2087,946.8743,eyem,1.0000
FP2-F8,964.6547,1034.0526,eyem,1.0000
FP2-F8,1034.0526,1035.3684,eyem_musc,1.0000
FP2-F8,1035.4163,1089.0526,eyem,1.0000
FP2-F8,1102.4880,1142.7273,eyem,1.0000
FP2-F8,1142.7416,1143.7225,eyem_musc,1.0000
FP2-F8,1143.7464,1154.5837,eyem,1.0000
FP2-F8,1154.6316,1155.2057,eyem_musc,1.0000
FP2-F8,1155.2536,1168.0048,eyem,1.0000
FP2-F8,1172.6172,1180.8230,eyem,1.0000
FP2-F8,1187.0000,1190.8038,eyem,1.0000
F8-T4,0.0119,2.0925,eyem,1.0000
F8-T4,97.0287,101.0000,eyem,1.0000
F8-T4,135.0089,136.4849,eyem,1.0000
F8-T4,143.9953,144.9259,elec,1.0000
F8-T4,148.0144,150.0239,eyem,1.0000
F8-T4,156.1962,166.0048,eyem,1.0000
F8-T4,214.0000,223.0081,elec,1.0000
F8-T4,246.0850,247.9069,eyem,1.0000
F8-T4,257.5061,259.1255,elec,1.0000
F8-T4,338.0162,340.8502,eyem,1.0000
F8-T4,344.5951,356.1336,eyem,1.0000
F8-T4,383.0688,397.1377,eyem,1.0000
F8-T4,415.2794,415.9879,eyem_elec,1.0000
F8-T4,422.1781,437.0567,eyem,1.0000
F8-T4,447.0769,448.0891,musc,1.0000
F8-T4,464.0810,474.0000,eyem,1.0000
F8-T4,506.0405,506.5466,eyem_musc,1.0000
F8-T4,506.5749,523.0931,eyem,1.0000
F8-T4,525.0142,527.2004,musc,1.0000
F8-T4,529.0526,530.8745,musc,1.0000
F8-T4,548.0364,569.1093,eyem,1.0000
F8-T4,601.2392,601.4785,musc,1.0000
F8-T4,626.3636,643.9713,eyem,1.0000
F8-T4,648.0191,660.8421,eyem,1.0000
F8-T4,665.6316,667.8804,eyem,1.0000
F8-T4,671.2775,672.6172,eyem,1.0000
F8-T4,676.3014,707.0670,eyem,1.0000
F8-T4,727.9856,810.0909,eyem,1.0000
F8-T4,825.6710,826.0622,elec,1.0000
F8-T4,828.0000,868.0478,eyem,1.0000
F8-T4,873.0335,886.0478,eyem,1.0000
F8-T4,908.1579,920.2356,eyem,1.0000
F8-T4,922.7961,924.6929,eyem,1.0000
F8-T4,964.6547,1034.0526,eyem,1.0000
F8-T4,1034.0526,1035.3684,eyem_musc,1.0000
F8-T4,1035.4163,1089.0526,eyem,1.0000
F8-T4,1102.4880,1142.7273,eyem,1.0000
F8-T4,1142.7416,1143.7225,eyem_musc,1.0000
F8-T4,1143.7464,1154.5837,eyem,1.0000
F8-T4,1154.6316,1155.2057,eyem_musc,1.0000
F8-T4,1155.2536,1168.0048,eyem,1.0000
F8-T4,1172.6172,1180.8230,eyem,1.0000
F8-T4,1187.0000,1190.8038,eyem,1.0000
T4-T6,214.0000,223.0081,elec,1.0000
T4-T6,257.5061,259.1255,elec,1.0000
T4-T6,415.2794,415.9879,eyem_elec,1.0000
T4-T6,447.0769,448.0891,musc,1.0000
T4-T6,472.2199,472.5934,elec,1.0000
T4-T6,506.0405,506.5466,eyem_musc,1.0000
T4-T6,525.0142,527.2004,musc,1.0000
T4-T6,529.0526,530.8745,musc,1.0000
T4-T6,601.2392,601.4785,musc,1.0000
T4-T6,665.6316,667.8804,eyem,1.0000
T4-T6,671.2775,672.6172,eyem,1.0000
T4-T6,825.6710,826.0622,elec,1.0000
T4-T6,1034.0526,1035.3684,eyem_musc,1.0000
T4-T6,1142.7416,1143.7225,eyem_musc,1.0000
T4-T6,1154.6316,1155.2057,eyem_musc,1.0000
T6-O2,214.0000,223.0081,elec,1.0000
T6-O2,257.5061,259.1255,elec,1.0000
T6-O2,415.2794,415.9879,eyem_elec,1.0000
T6-O2,447.0769,448.0891,musc,1.0000
T6-O2,472.2199,472.5934,elec,1.0000
T6-O2,506.0405,506.5466,eyem_musc,1.0000
T6-O2,525.0142,527.2004,musc,1.0000
T6-O2,529.0526,530.8745,musc,1.0000
T6-O2,601.2392,601.4785,musc,1.0000
T6-O2,665.6316,667.8804,eyem,1.0000
T6-O2,671.2775,672.6172,eyem,1.0000
T6-O2,825.6710,826.0622,elec,1.0000
T6-O2,1034.0526,1035.3684,eyem_musc,1.0000
T6-O2,1142.7416,1143.7225,eyem_musc,1.0000
T6-O2,1154.6316,1155.2057,eyem_musc,1.0000
A1-T3,214.0000,223.0081,elec,1.0000
A1-T3,257.5061,259.1255,elec,1.0000
A1-T3,415.2794,415.9879,eyem_elec,1.0000
A1-T3,447.0769,448.0891,musc,1.0000
A1-T3,472.2199,472.5934,elec,1.0000
A1-T3,506.0405,506.5466,eyem_musc,1.0000
A1-T3,525.0142,527.2004,musc,1.0000
A1-T3,529.0526,530.8745,musc,1.0000
A1-T3,601.2392,601.4785,musc,1.0000
A1-T3,665.6316,667.8804,eyem,1.0000
A1-T3,671.2775,672.6172,eyem,1.0000
A1-T3,825.6710,826.0622,elec,1.0000
A1-T3,1034.0526,1035.3684,eyem_musc,1.0000
A1-T3,1142.7416,1143.7225,eyem_musc,1.0000
A1-T3,1154.6316,1155.2057,eyem_musc,1.0000
T3-C3,214.0000,223.0081,elec,1.0000
T3-C3,257.5061,259.1255,elec,1.0000
T3-C3,415.2794,415.9879,eyem_elec,1.0000
T3-C3,447.0769,448.0891,musc,1.0000
T3-C3,472.2199,472.5934,elec,1.0000
T3-C3,506.0405,506.5466,eyem_musc,1.0000
T3-C3,525.0142,527.2004,musc,1.0000
T3-C3,529.0526,530.8745,musc,1.0000
T3-C3,601.2392,601.4785,musc,1.0000
T3-C3,665.6316,667.8804,eyem,1.0000
T3-C3,671.2775,672.6172,eyem,1.0000
T3-C3,825.6710,826.0622,elec,1.0000
T3-C3,1034.0526,1035.3684,eyem_musc,1.0000
T3-C3,1142.7416,1143.7225,eyem_musc,1.0000
T3-C3,1154.6316,1155.2057,eyem_musc,1.0000
C3-CZ,214.0000,223.0081,elec,1.0000
C3-CZ,257.5061,259.1255,elec,1.0000
C3-CZ,415.2794,415.9879,eyem_elec,1.0000
C3-CZ,447.0769,448.0891,musc,1.0000
C3-CZ,472.2199,472.5934,elec,1.0000
C3-CZ,506.0405,506.5466,eyem_musc,1.0000
C3-CZ,525.0142,527.2004,musc,1.0000
C3-CZ,529.0526,530.8745,musc,1.0000
C3-CZ,601.2392,601.4785,musc,1.0000
C3-CZ,665.6316,667.8804,eyem,1.0000
C3-CZ,671.2775,672.6172,eyem,1.0000
C3-CZ,825.6710,826.0622,elec,1.0000
C3-CZ,1034.0526,1035.3684,eyem_musc,1.0000
C3-CZ,1142.7416,1143.7225,eyem_musc,1.0000
C3-CZ,1154.6316,1155.2057,eyem_musc,1.0000
CZ-C4,214.0000,223.0081,elec,1.0000
CZ-C4,257.5061,259.1255,elec,1.0000
CZ-C4,415.2794,415.9879,eyem_elec,1.0000
CZ-C4,447.0769,448.0891,musc,1.0000
CZ-C4,472.2199,472.5934,elec,1.0000
CZ-C4,506.0405,506.5466,eyem_musc,1.0000
CZ-C4,525.0142,527.2004,musc,1.0000
CZ-C4,529.0526,530.8745,musc,1.0000
CZ-C4,601.2392,601.4785,musc,1.0000
CZ-C4,665.6316,667.8804,eyem,1.0000
CZ-C4,671.2775,672.6172,eyem,1.0000
CZ-C4,825.6710,826.0622,elec,1.0000
CZ-C4,1034.0526,1035.3684,eyem_musc,1.0000
CZ-C4,1108.0302,1111.1067,musc,1.0000
CZ-C4,1125.0842,1127.3545,musc,1.0000
CZ-C4,1132.4878,1135.1968,musc,1.0000
CZ-C4,1142.7416,1143.7225,eyem_musc,1.0000
CZ-C4,1154.6316,1155.2057,eyem_musc,1.0000
C4-T4,214.0000,223.0081,elec,1.0000
C4-T4,257.5061,259.1255,elec,1.0000
C4-T4,415.2794,415.9879,eyem_elec,1.0000
C4-T4,447.0769,448.0891,musc,1.0000
C4-T4,472.2199,472.5934,elec,1.0000
C4-T4,506.0405,506.5466,eyem_musc,1.0000
C4-T4,525.0142,527.2004,musc,1.0000
C4-T4,529.0526,530.8745,musc,1.0000
C4-T4,601.2392,601.4785,musc,1.0000
C4-T4,665.6316,667.8804,eyem,1.0000
C4-T4,671.2775,672.6172,eyem,1.0000
C4-T4,825.6710,826.0622,elec,1.0000
C4-T4,1034.0526,1035.3684,eyem_musc,1.0000
C4-T4,1108.0302,1111.1067,musc,1.0000
C4-T4,1125.0842,1127.3545,musc,1.0000
C4-T4,1132.4878,1135.1968,musc,1.0000
C4-T4,1142.7416,1143.7225,eyem_musc,1.0000
C4-T4,1154.6316,1155.2057,eyem_musc,1.0000
T4-A2,214.0000,223.0081,elec,1.0000
T4-A2,257.5061,259.1255,elec,1.0000
T4-A2,415.2794,415.9879,eyem_elec,1.0000
T4-A2,447.0769,448.0891,musc,1.0000
T4-A2,472.2199,472.5934,elec,1.0000
T4-A2,506.0405,506.5466,eyem_musc,1.0000
T4-A2,525.0142,527.2004,musc,1.0000
T4-A2,529.0526,530.8745,musc,1.0000
T4-A2,601.2392,601.4785,musc,1.0000
T4-A2,665.6316,667.8804,eyem,1.0000
T4-A2,671.2775,672.6172,eyem,1.0000
T4-A2,825.6710,826.0622,elec,1.0000
T4-A2,1034.0526,1035.3684,eyem_musc,1.0000
T4-A2,1132.4878,1135.1968,musc,1.0000
T4-A2,1142.7416,1143.7225,eyem_musc,1.0000
T4-A2,1154.6316,1155.2057,eyem_musc,1.0000
FP1-F3,0.0119,2.0925,eyem,1.0000
FP1-F3,23.0622,31.0526,eyem,1.0000
FP1-F3,36.4115,41.9617,eyem,1.0000
FP1-F3,97.0287,101.0000,eyem,1.0000
FP1-F3,104.5072,111.0144,eyem,1.0000
FP1-F3,120.4742,121.4997,eyem,1.0000
FP1-F3,127.0480,128.2276,eyem,1.0000
FP1-F3,135.0089,136.4849,eyem,1.0000
FP1-F3,141.2211,142.2288,eyem,1.0000
FP1-F3,148.0144,150.0239,eyem,1.0000
FP1-F3,156.1962,166.0048,eyem,1.0000
FP1-F3,214.0000,223.0081,elec,1.0000
FP1-F3,235.1529,237.0676,eyem,1.0000
FP1-F3,246.0850,247.9069,eyem,1.0000
FP1-F3,252.9004,254.4298,eyem,1.0000
FP1-F3,257.5061,259.1255,elec,1.0000
FP1-F3,283.1700,286.0040,eyem,1.0000
FP1-F3,290.6360,293.9733,eyem,1.0000
FP1-F3,323.8548,325.3723,eyem,1.0000
FP1-F3,328.8947,334.1579,eyem,1.0000
FP1-F3,338.0162,340.8502,eyem,1.0000
FP1-F3,344.5951,356.1336,eyem,1.0000
FP1-F3,383.0688,397.1377,eyem,1.0000
FP1-F3,409.1053,411.0283,eyem,1.0000
FP1-F3,415.2794,415.9879,eyem_elec,1.0000
FP1-F3,417.7085,419.3279,eyem,1.0000
FP1-F3,422.1781,437.0567,eyem,1.0000
FP1-F3,447.0769,448.0891,musc,1.0000
FP1-F3,464.0810,474.0000,eyem,1.0000
FP1-F3,479.0607,483.0081,eyem,1.0000
FP1-F3,489.0364,491.0607,eyem,1.0000
FP1-F3,495.0081,496.9312,eyem,1.0000
FP1-F3,506.0405,506.5466,eyem_musc,1.0000
FP1-F3,506.5749,523.0931,eyem,1.0000
FP1-F3,525.0142,527.2004,musc,1.0000
FP1-F3,529.0526,530.8745,musc,1.0000
FP1-F3,533.0040,535.4939,eyem,1.0000
FP1-F3,548.0364,569.1093,eyem,1.0000
FP1-F3,601.2392,601.4785,musc,1.0000
FP1-F3,612.0526,614.4450,eyem,1.0000
FP1-F3,626.3636,643.9713,eyem,1.0000
FP1-F3,648.0191,660.8421,eyem,1.0000
FP1-F3,665.6316,667.8804,eyem,1.0000
FP1-F3,671.2775,672.6172,eyem,1.0000
FP1-F3,676.3014,707.0670,eyem,1.0000
FP1-F3,711.0478,714.0622,eyem,1.0000
FP1-F3,717.4493,719.1031,eyem,1.0000
FP1-F3,727.9856,810.0909,eyem,1.0000
FP1-F3,825.6710,826.0622,elec,1.0000
FP1-F3,828.0000,868.0478,eyem,1.0000
FP1-F3,873.0335,886.0478,eyem,1.0000
FP1-F3,908.1579,920.2356,eyem,1.0000
FP1-F3,922.7961,924.6929,eyem,1.0000
FP1-F3,945.2087,946.8743,eyem,1.0000
FP1-F3,964.6794,1034.0096,eyem,1.0000
FP1-F3,1034.0526,1035.3684,eyem_musc,1.0000
FP1-F3,1035.4163,1089.0526,eyem,1.0000
FP1-F3,1102.4880,1142.7273,eyem,1.0000
FP1-F3,1142.7416,1143.7225,eyem_musc,1.0000
FP1-F3,1143.7464,1154.5837,eyem,1.0000
FP1-F3,1154.6316,1155.2057,eyem_musc,1.0000
FP1-F3,1155.2536,1168.0048,eyem,1.0000
FP1-F3,1172.6172,1180.8230,eyem,1.0000
FP1-F3,1187.0000,1190.8038,eyem,1.0000
F3-C3,0.0119,2.0925,eyem,1.0000
F3-C3,97.0287,101.0000,eyem,1.0000
F3-C3,135.0089,136.4849,eyem,1.0000
F3-C3,148.0144,150.0239,eyem,1.0000
F3-C3,156.1962,166.0048,eyem,1.0000
F3-C3,214.0000,223.0081,elec,1.0000
F3-C3,246.0777,247.9034,eyem,1.0000
F3-C3,257.5061,259.1255,elec,1.0000
F3-C3,283.1700,286.0040,eyem,1.0000
F3-C3,328.8947,334.1579,eyem,1.0000
F3-C3,338.0162,340.8502,eyem,1.0000
F3-C3,344.5951,356.1336,eyem,1.0000
F3-C3,383.0688,397.1377,eyem,1.0000
F3-C3,415.2794,415.9879,eyem_elec,1.0000
F3-C3,417.7085,419.3279,eyem,1.0000
F3-C3,422.1781,437.0567,eyem,1.0000
F3-C3,447.0769,448.0891,musc,1.0000
F3-C3,464.0810,474.0000,eyem,1.0000
F3-C3,506.0405,506.5466,eyem_musc,1.0000
F3-C3,506.5749,523.0931,eyem,1.0000
F3-C3,525.0142,527.2004,musc,1.0000
F3-C3,529.0526,530.8745,musc,1.0000
F3-C3,548.0364,569.1093,eyem,1.0000
F3-C3,601.2392,601.4785,musc,1.0000
F3-C3,626.3636,643.9713,eyem,1.0000
F3-C3,648.0191,660.8421,eyem,1.0000
F3-C3,665.6316,667.8804,eyem,1.0000
F3-C3,671.2775,672.6172,eyem,1.0000
F3-C3,676.3014,707.0670,eyem,1.0000
F3-C3,711.0533,714.0587,eyem,1.0000
F3-C3,727.9856,810.0909,eyem,1.0000
F3-C3,825.6710,826.0622,elec,1.0000
F3-C3,828.0000,868.0478,eyem,1.0000
F3-C3,873.0335,886.0478,eyem,1.0000
F3-C3,908.1579,920.2356,eyem,1.0000
F3-C3,922.7961,924.6929,eyem,1.0000
F3-C3,964.6794,1034.0096,eyem,1.0000
F3-C3,1034.0526,1035.3684,eyem_musc,1.0000
F3-C3,1035.4163,1089.0526,eyem,1.0000
F3-C3,1102.4880,1142.7273,eyem,1.0000
F3-C3,1142.7416,1143.7225,eyem_musc,1.0000
F3-C3,1143.7464,1154.5837,eyem,1.0000
F3-C3,1154.6316,1155.2057,eyem_musc,1.0000
F3-C3,1155.2536,1168.0048,eyem,1.0000
F3-C3,1172.6172,1180.8230,eyem,1.0000
F3-C3,1187.0000,1190.8038,eyem,1.0000
C3-P3,214.0000,223.0081,elec,1.0000
C3-P3,257.5061,259.1255,elec,1.0000
C3-P3,415.2794,415.9879,eyem_elec,1.0000
C3-P3,447.0769,448.0891,musc,1.0000
C3-P3,472.2199,472.5934,elec,1.0000
C3-P3,506.0405,506.5466,eyem_musc,1.0000
C3-P3,525.0142,527.2004,musc,1.0000
C3-P3,529.0526,530.8745,musc,1.0000
C3-P3,601.2392,601.4785,musc,1.0000
C3-P3,665.6316,667.8804,eyem,1.0000
C3-P3,671.2775,672.6172,eyem,1.0000
C3-P3,825.6710,826.0622,elec,1.0000
C3-P3,1034.0526,1035.3684,eyem_musc,1.0000
C3-P3,1142.7416,1143.7225,eyem_musc,1.0000
C3-P3,1154.6316,1155.2057,eyem_musc,1.0000
P3-O1,214.0000,223.0081,elec,1.0000
P3-O1,257.5061,259.1255,elec,1.0000
P3-O1,415.2794,415.9879,eyem_elec,1.0000
P3-O1,447.0769,448.0891,musc,1.0000
P3-O1,472.2199,472.5934,elec,1.0000
P3-O1,506.0405,506.5466,eyem_musc,1.0000
P3-O1,525.0142,527.2004,musc,1.0000
P3-O1,529.0526,530.8745,musc,1.0000
P3-O1,601.2392,601.4785,musc,1.0000
P3-O1,665.6316,667.8804,eyem,1.0000
P3-O1,671.2775,672.6172,eyem,1.0000
P3-O1,825.6710,826.0622,elec,1.0000
P3-O1,1034.0526,1035.3684,eyem_musc,1.0000
P3-O1,1142.7416,1143.7225,eyem_musc,1.0000
P3-O1,1154.6316,1155.2057,eyem_musc,1.0000
FP2-F4,0.0119,2.0925,eyem,1.0000
FP2-F4,23.0622,31.0526,eyem,1.0000
FP2-F4,36.4115,41.9617,eyem,1.0000
FP2-F4,97.0287,101.0000,eyem,1.0000
FP2-F4,104.5072,111.0144,eyem,1.0000
FP2-F4,120.4742,121.4997,eyem,1.0000
FP2-F4,127.0480,128.2276,eyem,1.0000
FP2-F4,135.0089,136.4849,eyem,1.0000
FP2-F4,141.2211,142.2288,eyem,1.0000
FP2-F4,148.0144,150.0239,eyem,1.0000
FP2-F4,156.1962,166.0048,eyem,1.0000
FP2-F4,214.0000,223.0081,elec,1.0000
FP2-F4,235.1529,237.0676,eyem,1.0000
FP2-F4,246.0850,247.9069,eyem,1.0000
FP2-F4,252.9004,254.4298,eyem,1.0000
